titel,pdf,urn,sou-nr,full_titel
1922:13,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892080.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2506797,1922:13,"Högskolornas löneregleringskommittés betänkanden. 2",
1922:14 första serien,https://weburn.kb.se/sou/585/urn-nbn-se-kb-digark-5847029.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1699123,1922:14 första serien,"Betänkande och förslag angående officerskårens vid flottan rekrytering och utbildning m. m. 4",
1922:14,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892056.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483856,1922:14,"Statsmakterna och bränsleanskaffningen under krigsåren av Bränslekommissionen avgiven berättelse över dess verksamhet åren 1917-1921",
1922:15 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5838553.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505680,1922:15 första serien,"Kommunalförfattningssakkunnigas betänkande. 3",
1922:15,https://weburn.kb.se/sou/192/urn-nbn-se-kb-digark-1915872.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483857,1922:15,"Statistiksakkunnigas betänkande utredning och förslag till åtgärder för minskning av kostnaderna för den officiella statistiken samt åstadkommande av en permanent kontroll över det statistiska arbetet m. m.",
1922:16 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5839518.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2505681,1922:16 första serien,"Kommunalförfattningssakkunnigas betänkande. 3.Bil.",
1922:16,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892082.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8231680,1922:16,"Förslag till vissa ändringar i bestämmelserna rörande jakt och fågelskydd. 2",
1922:17 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5838285.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1836510,1922:17 första serien,"Förberedande utkast till strafflag. Speciella delen.4",
1922:17,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892055.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483858,1922:17,"Betänkande och förslag rörande det akademiska befordringsväsendet",
1922:18 första serien,https://weburn.kb.se/sou/584/urn-nbn-se-kb-digark-5837675.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8220651,1922:18 första serien,"Betänkande i fråga om plan för utförande av Ostkustbanan m.m.",
1922:18,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1896922.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483860,1922:18,"Det svenska lantbrukets produktionskostnader. 1",
1922:19 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5805947.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-417749,1922:19 första serien,"Utlåtande i valutafrågan",
1922:19,https://weburn.kb.se/sou/190/urn-nbn-se-kb-digark-1892061.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1483862,1922:19,"Betänkande med förslag angående arrendators rätt till ersättning för elektrisk anläggning",
1922:20 första serien,https://weburn.kb.se/sou/581/urn-nbn-se-kb-digark-5804596.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1470247,1922:20 första serien,"Underdånigt betänkande rörande lönereglering för befattningshavare vid lots- och fyrstaten m. m.",
