titel,pdf,urn,sou-nr,full_titel
1935:20,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2178140.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368376,1935:20,"Grunder för kollektiv och individuell pensionsförsäkring utredning",
1935:21,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058513.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368377,1935:21,"Utredning angående införande av ett dagordningsinstitut m. m.",
1935:22,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058522.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368378,1935:22,"Utredning och förslag rörande frågan om avgift för hemlån av böcker från bibliotek",
1935:23,https://weburn.kb.se/sou/218/urn-nbn-se-kb-digark-2173830.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219186,1935:23,"Betänkande med förslag till motorfordonsförordning och vägtrafikstadga m. m.",
1935:24,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039040.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368380,1935:24,"Betänkande med förslag till ändrad organisation av den statliga verksamheten för bekämpande av olovlig införsel av spritdrycker m. m.",
1935:25,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2073675.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368381,1935:25,"Förslag till nya avlöningsbestämmelser för icke-ordinarie befattningshavare inom den allmänna civilförvaltningen",
1935:26,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058463.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1172560,1935:26,"Betänkande med förslag rörande det svenska naturskyddets organisation och statliga förvaltning samt uppgifter för det allmänna naturskyddets verksamhet",
1935:27,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039041.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368382,1935:27,"Betänkande med förslag till ändring i vissa delar av upphandlingsförordningen",
1935:28,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058523.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368383,1935:28,"Utredning med förslag om egnahemskonsulenter hos hushållningssällskapen",
1935:29,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057391.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219187,1935:29,"Betänkande angående husdjursförsöksverksamhetens organisation",
1935:30,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057387.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219188,1935:30,"Berättelse över Statens spannmålsnämnds verksamhet m.m. under år 1934.",
1935:31,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057408.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219189,1935:31,"Betänkande med förslag till lag om domkapitel m.m.",
1935:32,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074726.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368387,1935:32,"Betänkande med förslag till förordning om jordbrukets kreditkassor m. m.",
1935:33,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074731.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368388,1935:33,"Kungl. Medicinalstyrelsens utlåtande och förslag angående statsunderstödd dispensärverksamhet",
1935:34,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039549.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368389,1935:34,"Betänkande med vissa synpunkter och förslag i fråga om den primära fastighetskrediten",
1935:35,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2047453.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508476,1935:35,"Betänkande och förslag rörande verksamheten vid skyddshemmen m. m. D. 1",
1935:36,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058516.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1202655,1935:36,"Betänkande angående råvaruförsörjning, produktion och arbetarantal m. m. vid skogsindustrierna",
1935:37,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039553.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368390,1935:37,"Förslag rörande allmänna grunder för ordnandet av städnings- och rengöringsarbetet inom vissa statliga ämbetslokaler i Stockholm samt beräknandet av ersättning för nämnda arbete",
1935:38,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058459.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508485,1935:38,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 1",
1935:39,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2055834.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508486,1935:39,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 2",
1935:40,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057322.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508487,1935:40,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 3",
1935:41,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058457.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508488,1935:41,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 4",
1935:42,https://weburn.kb.se/sou/207/urn-nbn-se-kb-digark-2067786.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508489,1935:42,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 5, Värnplikten. Vissa för försvarsväsendet gemensamma frågor. Sammanfattning av Försvarskommissionens förslag. Bilagor",
1935:43,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057406.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508490,1935:43,"Betänkande med förslag till ordnande av Sveriges försvarsväsende. D. 6",
1935:44,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039560.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368391,1935:44,"Betänkande med utredning och förslag angående folk- och småskoleseminariernas organisation m. m.",
1935:45,https://weburn.kb.se/sou/256/urn-nbn-se-kb-digark-2551360.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368392,1935:45,"Utredning och förslag rörande läroböcker vid allmänna läroverk och folkskolor m. fl. undervisningsanstalter",
1935:46,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074727.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368393,1935:46,"Betänkande angående folktandvård",
1935:47,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058484.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219190,1935:47,"Sociala jordutredningens betänkande med förslag till lag om ändring i vissa delar av lagen den 18 juni 1925 angående förbud i vissa fall för bolag, förening och stiftelse att förvärva fast egendom",
1935:48,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074762.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368395,1935:48,"Betänkande med förslag till lag om arbetstiden i jordbruk och trädgårdsskötsel (lantarbetstidslag) m. m.",
1935:49,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039555.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368396,1935:49,"Betänkande med förslag rörande ändringar i vissa delar av hälsovårdsstadgan samt anordnande av förbättrad bostadsinspektion i städer och stadsliknande samhällen m. m. jämte därtill hörande utredningar",
1935:50,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039033.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368397,1935:50,"Promemoria angående avveckling av bestående fideikommiss",
1935:51,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039034.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368398,1935:51,"Den ekonomiska och sociala utvecklingen under år 1934",
1935:52,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058461.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-877086,1935:52,"Betänkande med undersökningar och förslag i anledning av tillströmningen till de intellektuella yrkena",
1935:53,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058501.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219191,1935:53,"Betänkande angående behörighet att utföra elektriskt installationsarbete m.m.",
1935:54,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2044293.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368400,1935:54,"Bostadsproduktionssakkunnigas betänkande med förslag till lag om sparföreningar m. m.",
1935:55,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039559.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368401,1935:55,"Betänkande med förslag till mejeristadga samt vissa andra åtgärder till mejerihanteringens befrämjande",
1935:56,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074728.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368402,1935:56,"Promemoria angående ändrade bestämmelser rörande verkställighet och förvandling av bötesstraff.",
1935:57,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074729.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368403,1935:57,"Promemoria angående omorganisation av landsfiskals- och stadsfiskalsbefattningarna.",
1935:58,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041766.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368404,1935:58,"Betänkande och förslag angående obligatorisk sjuårig folkskola",
1935:59,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074761.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368405,1935:59,"Betänkande med förslag till lag om förenings- och förhandlingsrätt",
1935:60,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074730.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368406,1935:60,"Promemoria angående avskaffande av påföljd enligt 2 kap. 19 § strafflagen jämte vissa andra straffpåföljder",
1935:61,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041770.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368407,1935:61,"Betänkande angående import- och partihandelsmonopol å brännoljor",
1935:62,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058524.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368408,1935:62,"Utredning med förslag rörande dyrortsgraderade folkpensioner",
1935:63,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074739.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368409,1935:63,"De svenska enhetsprisföretagen utredning",
1935:64,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057057.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508477,1935:64,"Betänkande och förslag rörande verksamheten vid skyddshemmen m. m. D. 2",
1935:65,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2048053.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508684,1935:65,"Betänkande om folkförsörjning och arbetsfred. D. 1",
1935:66,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057342.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508685,1935:66,"Betänkande om folkförsörjning och arbetsfred. D. 2",
1935:67,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041769.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1368410,1935:67,"Betänkande med förslag till lag om tvångsuppfostran m. m.",
1935:68,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058460.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-887809,1935:68,"Promemoria angående ändringar i strafflagen beträffande straffsatserna för särskilda brott m. m.",
1936:1,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041771.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378696,1936:1,"Betänkanden: 1. rörande Serafimerlasarettets ekonomi, samt: 2. rörande lasarettets ställning och verksamhet.",
1936:2,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074760.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378697,1936:2,"Förslag till konvention mellan Sverige och Schweiz om erkännande och verkställighet av domar och skiljedomar m. m.",
1936:3,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041772.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378698,1936:3,"Betänkande med förslag om vissa föreskrifter beträffande konsumtionsmjölk",
1936:4,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2044298.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378699,1936:4,"Betänkande med förslag till lag om behandling av förbrytare, hemfallna åt alkoholmissbruk, m. m.",
1936:5,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041774.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378700,1936:5,"Betänkande med förslag angående revision av lagstiftningen rörande tillverkning, beskattning och försäljning av maltdrycker",
1936:6,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2041775.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378701,1936:6,"Utredning med förslag rörande bidrag åt barn till änkor och vissa invalider samt åt föräldralösa barn",
1936:7,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058518.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1594186,1936:7,"Socialiseringsproblemet 1,utkast till ett principbetänkande.",
1936:8,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058514.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378702,1936:8,"Ur socialiseringens 'europeiska idékrets'",
1936:9,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058520.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1594173,1936:9,"Socialiseringsidéer och socialiseringspraxis i Sovjetunionen. 1",
1936:10,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058508.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378703,1936:10,"Statligt kaffemonopol utredning",
1936:11,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074759.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378704,1936:11,"Förslag till psalmbok för Svenska kyrkan",
1936:12,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040712.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378705,1936:12,"Betänkande angående förlossningsvården och barnmorskeväsendet samt förebyggande mödra- och barnavård",
1936:13,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040713.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378706,1936:13,"Betänkande angående familjebeskattningen",
1936:14,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040714.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378707,1936:14,"Betänkande angående dels planmässigt sparande och dels statliga bosättningslån",
1936:15,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057452.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378708,1936:15,"Betänkande angående moderskapspenning och mödrahjälp",
1936:16,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058515.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378709,1936:16,"Utredning rörande förhållandet mellan land- och sjötrafikmedel.",
1936:17,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057457.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378710,1936:17,"Förslag till lag om ändring i vissa delar av sjölagen m. m.",
1936:18,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058504.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378711,1936:18,"Undersökningar rörande det samlade skattetrycket i Sverige och utlandet",
1936:19,https://weburn.kb.se/sou/222/urn-nbn-se-kb-digark-2215613.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219329,1936:19,"Betänkande med förslag till lagstiftning angående skyddsskogar m.m.",
1936:20,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040723.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378713,1936:20,"Betänkande med förslag i anledning av verkställd granskning av 1932 års trafikutrednings förslag till förordning angående allmän automobiltrafik",
1936:21,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040720.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378714,1936:21,"Arbetslöshetsundersökningen den 31 juli 1935",
1936:22,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2078625.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378715,1936:22,"Den svenska sjöfartsnäringen statistisk-ekonomisk undersökning",
1936:23,https://weburn.kb.se/sou/230/urn-nbn-se-kb-digark-2293451.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378716,1936:23,"Betänkande angående åtgärder för avhjälpande av de inom vissa delar av Norrbottens läns lappmark yppade missförhållanden samt rörande de kostnader som därav kunde föranledas m. m.",
1936:24,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040724.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378717,1936:24,"Betänkande med förslag till lag om internationella rättsförhållanden rörande arv, testamente och boutredning m. m.",
1936:25,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040722.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378718,1936:25,"Betänkande med förslag till lag angående ändring i vissa delar av lagen den 29 juni 1923 (nr 286) om sparbanker m. m.",
1936:26,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058493.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219330,1936:26,"Sociala jordutredningens betänkande med förslag till revision av lagstiftningen angående avstyckning m.m.",
1936:27,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058509.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378720,1936:27,"Angående kontrollen över elektriska starkströmsanläggningar huvudbetänkande",
1936:28,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039035.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378721,1936:28,"Kyrkogodset i Skåne, Halland och Blekinge under dansk tid rättshistorisk utredning",
1936:29,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058525.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378722,1936:29,"Betänkande om Socialstyrelsens organisation",
1936:30,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040725.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378723,1936:30,"Betänkande med förslag till lagstiftning angående skogar å städer och enskilda tillhöriga flygsandsfält i Hallands län",
1936:31,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040719.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378724,1936:31,"Betänkande med utredning och förslag angående åtgärder för särskild undervisning och utbildning av psykiskt efterblivna i barn- och ungdomsåren",
1936:32,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058519.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378725,1936:32,"Svensk arbetslöshetspolitik åren 1914-1935 redogörelse",
1936:33,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074758.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378726,1936:33,"Förslag till vissa ändringar i Kungl. Byggnadsstyrelsens normalförslag till gatukostnadsbestämmelser enl. 49 § stadsplanelagen.",
1936:34,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039050.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-877068,1936:34,"Utredning rörande de svenska universitets- och högskolestudenternas sociala och ekonomiska förhållanden bilaga till Betänkande med undersökningar och förslag i anledning av tillströmningen till de intellektuella yrkena",
1936:35,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058500.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378727,1936:35,"Promemoria angående ändring av bestämmelserna rörande kommunernas underställningsfria lånerätt.",
1936:36,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058498.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378728,1936:36,"Psalmbok för Svenska kyrkan förslag",
1936:37,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058723.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378729,1936:37,"Utredning angående revision av bestämmelserna om tingshusbyggnadsskyldigheten",
1936:38,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057363.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508734,1936:38,"Betänkande med förslag rörande jaktlagstiftningsfrågor. 1",
1936:39,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058502.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-8219331,1936:39,"Sociala jordutredningens betänkande med förslag till åtgärder för att bereda ökade möjligheter för den mindre bemedlade befolkningen på landsbygden att förena småbruk med hemindustri, hantverk, hemslöjd, pälsdjursuppfödning m.m.",
1936:40,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040718.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378731,1936:40,"Betänkande med förslag till omorganisation av den med statsmedel understödda kemiska analys- och kontrollverksamheten",
1936:41,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040721.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378732,1936:41,"Betänkande med förslag rörande förhandlingsordning för statstjänstemän",
1936:42,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2059005.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378733,1936:42,"Betänkande med utredning och förslag rörande rikets ekonomiska kartläggning, och därmed sammanhängande organisationsspörsmål angående rikets landkartverk",
1936:43,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057386.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-2508739,1936:43,"Betänkande. 2",
1936:44,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040726.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378734,1936:44,"Betänkande med utredning och förslag angående sammanförande och organisation av i Stockholm befintliga arkeologiska samlingar från Medelhavsländerna och Främre Orienten",
1936:45,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058480.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378735,1936:45,"Rationaliserings- och ersättningsfrågor i samband med ifrågasatt införande av statligt brännoljemonopol utredning",
1936:46,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040727.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378736,1936:46,"Betänkande angående sterilisering",
1936:47,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040729.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378737,1936:47,"Utredning med förslag rörande förskottering av underhållsbidrag till barn utom äktenskap m. fl.",
1936:48,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2057440.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378738,1936:48,"Betänkande med förslag till lönereglering för lärare vid folk- och småskolor",
1936:49,https://weburn.kb.se/sou/204/urn-nbn-se-kb-digark-2039036.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378739,1936:49,"Utredning med förslag angående omorganisation av dövstumundervisningsväsendet",
1936:50,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040732.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378740,1936:50,"Betänkande och förslag angående beredande av vidgade arbetsuppgifter för svenska konstnärer",
1936:51,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058464.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-895896,1936:51,"Yttrande angående revision av 18 kap. 13 § strafflagen m. m.",
1936:52,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2059004.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378741,1936:52,"Undersökning av taxeringsutfallet beträffande jordbruksfastighet å landsbygden vid 1933 års allmänna fastighetstaxering.",
1936:53,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058497.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1183953,1936:53,"Utredning angående revision av bestämmelserna om utlännings rätt att här i riket vistas och därmed sammanhängande spörsmål",
1936:54,https://weburn.kb.se/sou/208/urn-nbn-se-kb-digark-2074756.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378742,1936:54,"Förslag till lag om befordran med luftfartyg m.m.",
1936:55,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040733.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378743,1936:55,"Den ekonomiska och sociala utvecklingen under år 1935",
1936:56,https://weburn.kb.se/sou/205/urn-nbn-se-kb-digark-2040737.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378744,1936:56,"Betänkande med förslag angående länsstyrelsernas organisation jämte därmed sammanhängande spörsmål",
1936:57,https://weburn.kb.se/sou/229/urn-nbn-se-kb-digark-2280211.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378745,1936:57,"Betänkande angående det civila luftskyddet",
1936:58,https://weburn.kb.se/sou/229/urn-nbn-se-kb-digark-2280212.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378746,1936:58,"Utlåtande rörande finansieringen av vägförbättringsföretag, den budgettekniska regleringen av statsbidragen till vägunderhållet på landet, särskilda vägar till fjällområdena, statsbidragen till städernas väg- och gatuhållning samt automobilskattemedlens fördelning m. m.",
1936:59,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058505.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-895884,1936:59,"Betänkande i sexualfrågan",
1937:1,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058521.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1594187,1937:1,"Socialiseringsproblemet 2,utkast till ett principbetänkande.",
1937:2,https://weburn.kb.se/sou/206/urn-nbn-se-kb-digark-2058511.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1594174,1937:2,"Socialiseringsidéer och socialiseringspraxis i Sovjetunionen. 2",
1937:3,https://weburn.kb.se/sou/229/urn-nbn-se-kb-digark-2280031.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:sou-1378747,1937:3,"Betänkande med förslag till revision av förvarings- och interneringslagarna m. m.",
