,id,id_url,date_published,title
963,dark-85732,https://data.kb.se/dark-85732,1888-02-20,SVENSKA DAGBLADET 1888-02-20
964,dark-85726,https://data.kb.se/dark-85726,1888-02-21,SVENSKA DAGBLADET 1888-02-21
965,dark-85723,https://data.kb.se/dark-85723,1888-02-22,SVENSKA DAGBLADET 1888-02-22
966,dark-85742,https://data.kb.se/dark-85742,1888-02-23,SVENSKA DAGBLADET 1888-02-23
967,dark-85747,https://data.kb.se/dark-85747,1888-02-24,SVENSKA DAGBLADET 1888-02-24
968,dark-85735,https://data.kb.se/dark-85735,1888-02-25,SVENSKA DAGBLADET 1888-02-25
969,dark-85725,https://data.kb.se/dark-85725,1888-02-27,SVENSKA DAGBLADET 1888-02-27
970,dark-85737,https://data.kb.se/dark-85737,1888-02-28,SVENSKA DAGBLADET 1888-02-28
971,dark-85734,https://data.kb.se/dark-85734,1888-02-29,SVENSKA DAGBLADET 1888-02-29
972,dark-85745,https://data.kb.se/dark-85745,1888-03-01,SVENSKA DAGBLADET 1888-03-01
973,dark-85750,https://data.kb.se/dark-85750,1888-03-02,SVENSKA DAGBLADET 1888-03-02
974,dark-85739,https://data.kb.se/dark-85739,1888-03-03,SVENSKA DAGBLADET 1888-03-03
975,dark-85738,https://data.kb.se/dark-85738,1888-03-05,SVENSKA DAGBLADET 1888-03-05
976,dark-85748,https://data.kb.se/dark-85748,1888-03-06,SVENSKA DAGBLADET 1888-03-06
977,dark-85729,https://data.kb.se/dark-85729,1888-03-07,SVENSKA DAGBLADET 1888-03-07
978,dark-85751,https://data.kb.se/dark-85751,1888-03-08,SVENSKA DAGBLADET 1888-03-08
979,dark-85736,https://data.kb.se/dark-85736,1888-03-09,SVENSKA DAGBLADET 1888-03-09
980,dark-85733,https://data.kb.se/dark-85733,1888-03-10,SVENSKA DAGBLADET 1888-03-10
981,dark-85727,https://data.kb.se/dark-85727,1888-03-12,SVENSKA DAGBLADET 1888-03-12
982,dark-85749,https://data.kb.se/dark-85749,1888-03-13,SVENSKA DAGBLADET 1888-03-13
983,dark-85744,https://data.kb.se/dark-85744,1888-03-14,SVENSKA DAGBLADET 1888-03-14
984,dark-85730,https://data.kb.se/dark-85730,1888-03-15,SVENSKA DAGBLADET 1888-03-15
985,dark-85754,https://data.kb.se/dark-85754,1888-03-16,SVENSKA DAGBLADET 1888-03-16
986,dark-85778,https://data.kb.se/dark-85778,1888-03-17,SVENSKA DAGBLADET 1888-03-17
987,dark-85795,https://data.kb.se/dark-85795,1888-03-19,SVENSKA DAGBLADET 1888-03-19
988,dark-85775,https://data.kb.se/dark-85775,1888-03-20,SVENSKA DAGBLADET 1888-03-20
989,dark-85787,https://data.kb.se/dark-85787,1888-03-21,SVENSKA DAGBLADET 1888-03-21
990,dark-85780,https://data.kb.se/dark-85780,1888-03-22,SVENSKA DAGBLADET 1888-03-22
991,dark-85794,https://data.kb.se/dark-85794,1888-03-23,SVENSKA DAGBLADET 1888-03-23
992,dark-85781,https://data.kb.se/dark-85781,1888-03-26,SVENSKA DAGBLADET 1888-03-26
993,dark-85827,https://data.kb.se/dark-85827,1888-03-27,SVENSKA DAGBLADET 1888-03-27
994,dark-85849,https://data.kb.se/dark-85849,1888-03-28,SVENSKA DAGBLADET 1888-03-28
995,dark-85809,https://data.kb.se/dark-85809,1888-03-29,SVENSKA DAGBLADET 1888-03-29
996,dark-85824,https://data.kb.se/dark-85824,1888-03-31,SVENSKA DAGBLADET 1888-03-31
997,dark-85812,https://data.kb.se/dark-85812,1888-04-03,SVENSKA DAGBLADET 1888-04-03
998,dark-85841,https://data.kb.se/dark-85841,1888-04-04,SVENSKA DAGBLADET 1888-04-04
999,dark-85846,https://data.kb.se/dark-85846,1888-04-05,SVENSKA DAGBLADET 1888-04-05
1000,dark-85838,https://data.kb.se/dark-85838,1888-04-06,SVENSKA DAGBLADET 1888-04-06
1001,dark-85815,https://data.kb.se/dark-85815,1888-04-07,SVENSKA DAGBLADET 1888-04-07
1002,dark-85844,https://data.kb.se/dark-85844,1888-04-09,SVENSKA DAGBLADET 1888-04-09
1003,dark-85848,https://data.kb.se/dark-85848,1888-04-10,SVENSKA DAGBLADET 1888-04-10
